"Tablas","userOPAC","userINTRA","userDevelop","userAdmin"
" ",,,,
"| pref_categoria_unidad_informacion  "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_estructura_campo_marc         "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_estructura_subcampo_marc      "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_feriado                       "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_informacion_referencia        "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_iso2709                       "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_palabra_frecuente             "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_preferencia_sistema           "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_relacion_unidad_informacion   "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_servidor_z3950                "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_tabla_referencia              "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_tabla_referencia_info         "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_unidad_informacion            "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_valor_autorizado              "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_disponibilidad                 "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_dpto_partido                   "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_estado                         "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_idioma                         "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_localidad                      "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_nivel_bibliografico            "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_pais                           "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_provincia                      "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_soporte                        "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_tipo_operacion                 "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_busqueda                       "SELECT, INSERT","SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_historial_busqueda             "SELECT, INSERT","SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_historial_circulacion          "SELECT, INSERT","SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_historial_prestamo             "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_historial_sancion              "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_registro_modificacion          "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| sessionqueries                     "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
